first_author,study_ID,effect_size_ID,year_published,citation,journal,level,phyllum,class,order,family,common_name,scientific_name,scientific_name_OTL,strain,developmental_stage,includes_body_size,body_size,size_unit,pop_source,temp,exposure_method,vehicle,bisphenol,bisphenol_conc,bispheno_unit_paper,bispenol_unit_standardized,Bispheno_corrected_ug,time,time_days,lag,sex,tissue_type,cell_type,cell_gen,molecule_type,molecule,abbreviation,type,role,response,response_unit,mean_control,sd_control,se_control,n_control,mean_treat,sd_treat,se_treat,n_treat,tool,mean_c_1,mean_t_1,pooled_sd,hedges_calc,hedges_abs,lnRR,lnRR_variance
Ahmed,3,15,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Thyroid Stimulating Hormone,TSH,Pituitary,Thyroid,Circulating level ,ng/100 mL,3.18,0.293938769,0.12,6,7.03,0.220454077,0.09,6,metadigitize,4.18,8.03,0.259807621,14.81865691,14.81865691,0.793305509,0.001587893
Ahmed,3,16,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Thyroid Stimulating Hormone,TSH,Pituitary,Thyroid,Circulating level ,ng/100 mL,3.18,0.293938769,0.12,6,9.68,0.391918359,0.16,6,metadigitize,4.18,10.68,0.346410162,18.76388375,18.76388375,1.113180704,0.0016972
Ahmed,3,17,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Growth_Hormone,GH,Peptide,Somatatropin,Circulating level ,ng/100 mL,1.96,0.318433667,0.13,6,0.97,0.171464282,0.07,6,metadigitize,2.96,1.97,0.255734237,-3.871206341,3.871206341,-0.703403681,0.009606988
Ahmed,3,18,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,blood,NA,NA,Hormone,Growth_Hormone,GH,Peptide,Somatatropin,Circulating level ,ng/100 mL,1.96,0.318433667,0.13,6,0.41,0.146969385,0.06,6,metadigitize,2.96,1.41,0.247991935,-6.250203249,6.250203249,-1.564542593,0.025815033
Ahmed,3,19,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebrum,NA,NA,Antioxidant,Asorbic Acid,AA,Protein,Vitamin,Tissue concentration,mg/ mg tissue,54.11,2.204540769,0.9,6,32.5,0.587877538,0.24,6,metadigitize,55.11,33.5,1.613319559,-13.39474246,13.39474246,-0.509778922,0.000331182
Ahmed,3,20,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebrum,NA,NA,Antioxidant,Asorbic Acid,AA,Protein,Vitamin,Tissue concentration,mg/ mg tissue,54.11,2.204540769,0.9,6,17.5,2.547469332,1.04,6,metadigitize,55.11,18.5,2.382183872,-15.36825114,15.36825114,-1.128818131,0.003808405
Ahmed,3,21,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebrum,NA,NA,Antioxidant,Total Thiol,t-SH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,107.91,2.718933614,1.11,6,92.63,2.596459127,1.06,6,metadigitize,108.91,93.63,2.658401776,-5.747814398,5.747814398,-0.152684483,0.00023676
Ahmed,3,22,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebrum,NA,NA,Antioxidant,Total Thiol,t-SH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,107.91,2.718933614,1.11,6,67.61,3.208831563,1.31,6,metadigitize,108.91,68.61,2.973987223,-13.55083159,13.55083159,-0.467541645,0.000481232
Ahmed,3,23,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebrum,NA,NA,Antioxidant,Glutathione,GSH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,46.69,2.890397896,1.18,6,25.99,2.890397896,1.18,6,metadigitize,47.69,26.99,2.890397896,-7.161643739,7.161643739,-0.58581816,0.002700077
Ahmed,3,24,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebrum,NA,NA,Antioxidant,Glutathione,GSH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,46.69,2.890397896,1.18,6,25.99,2.865902999,1.17,6,metadigitize,47.69,26.99,2.878176506,-7.192053704,7.192053704,-0.58581816,0.002665287
Ahmed,3,25,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebellum,NA,NA,Antioxidant,Asorbic Acid,AA,Protein,Oxidative,Tissue concentration,mg/ mg tissue,39.6,0.808331615,0.33,6,24.43,3.502770332,1.43,6,metadigitize,40.6,25.43,2.541928402,-5.967910028,5.967910028,-0.483017233,0.003495743
Ahmed,3,26,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebellum,NA,NA,Antioxidant,Asorbic Acid,AA,Protein,Oxidative,Tissue concentration,mg/ mg tissue,39.6,0.808331615,0.33,6,12.5,0.587877538,0.24,6,metadigitize,40.6,13.5,0.706753139,-38.34436452,38.34436452,-1.153100474,0.000438084
Ahmed,3,27,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebellum,NA,NA,Antioxidant,Total Thiol,t-SH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,83.74,2.498479538,1.02,6,66.6,3.380295845,1.38,6,metadigitize,84.74,67.6,2.972271858,-5.766632669,5.766632669,-0.229012183,0.000577714
Ahmed,3,28,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebellum,NA,NA,Antioxidant,Total Thiol,t-SH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,83.74,2.498479538,1.02,6,46.55,4.09064787,1.67,6,metadigitize,84.74,47.55,3.389380474,-10.97250671,10.97250671,-0.587189757,0.001435411
Ahmed,3,29,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebellum,NA,NA,Antioxidant,Glutathione,GSH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,29.11,1.249239769,0.51,6,15.96,4.017163178,1.64,6,metadigitize,30.11,16.96,2.974743686,-4.420548923,4.420548923,-0.600996166,0.010865921
Ahmed,3,30,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebellum,NA,NA,Antioxidant,Glutathione,GSH,Protein,Oxidative,Tissue concentration,mg/ mg tissue,29.11,1.249239769,0.51,6,8.9,1.984086692,0.81,6,metadigitize,30.11,9.9,1.657890226,-12.1901919,12.1901919,-1.185030481,0.008589987
Ahmed,3,31,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebrum,NA,NA,Enzyme,Catalase,CAT,Protein,Oxidative,Tissue concentration,K/100,17.53,0.979795897,0.4,6,11.24,0.930806102,0.38,6,metadigitize,18.53,12.24,0.955614985,-6.58214877,6.58214877,-0.444434854,0.001663632
Ahmed,3,32,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebrum,NA,NA,Enzyme,Catalase,CAT,Protein,Oxidative,Tissue concentration,K/100,17.53,0.979795897,0.4,6,7.07,0.636867333,0.26,6,metadigitize,18.53,8.07,0.82631713,-12.65857818,12.65857818,-0.908053219,0.001873071
Ahmed,3,33,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebrum,NA,NA,Enzyme,Glutathione reductase,GR,Protein,Oxidative,Tissue concentration,nmol/100mg tissue,84.5,0.734846923,0.3,6,51.64,1.494188743,0.61,6,metadigitize,85.5,52.64,1.177412417,-27.9086576,27.9086576,-0.492454968,0.000152141
Ahmed,3,34,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,40,ug/kg bw/day,ug/kg,40,~2 weeks,15,0,Male,cerebrum,NA,NA,Enzyme,Glutathione reductase,GR,Protein,Oxidative,Tissue concentration,nmol/100mg tissue,84.5,0.734846923,0.3,6,28.28,1.61666323,0.66,6,metadigitize,85.5,29.28,1.255706972,-44.77159182,44.77159182,-1.094596693,0.000557269
Ahmed,3,35,2018,"Ahmed, R. G., G. H. Walaa, and F. S. Asmaa. ""Suppressive effects of neonatal bisphenol A on the neuroendocrine system."" Toxicology and industrial health 34, no. 6 (2018): 397-407.",Toxicology and industrial health,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Wistar,Neonatal,Y,30,grams,Lab,NA,Gavage,corn oil,BPA,20,ug/kg bw/day,ug/kg,20,~2 weeks,15,0,Male,cerebrum,NA,NA,Enzyme,Glutathione peroxidase,GPx,Protein,Oxidative,Tissue concentration,mU/g tissue,18.62,1.004290795,0.41,6,10.89,0.195959179,0.08,6,metadigitize,19.62,11.89,0.723532999,-10.68368687,10.68368687,-0.536391335,0.000538818
